APR,AIRE,REGIONE,STATO_ESTERO,DATA_ESTRAZIONE
0,34,"EMILIA ROMAGNA","BELGIO","10-08-2022 12:30:02"
0,52,"EMILIA ROMAGNA","ANGOLA","10-08-2022 12:30:02"
0,14,"EMILIA ROMAGNA","GERUSALEMME","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","REPUBBLICA CECA","10-08-2022 12:30:02"
0,5,"EMILIA ROMAGNA","BAHREIN","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","BULGARIA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","FEDERAZIONE RUSSA","10-08-2022 12:30:02"
0,1,"LAZIO","COLOMBIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","TAIWAN","10-08-2022 12:30:02"
0,7,"EMILIA ROMAGNA","TURCHIA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","BONAIRE, SINT EUSTATIUS, SABA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","ROMANIA","10-08-2022 12:30:02"
0,2,"EMILIA ROMAGNA","NUOVA ZELANDA","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","VENEZUELA","10-08-2022 12:30:02"
0,2,"LAZIO","VENEZUELA","10-08-2022 12:30:02"
0,4,"LAZIO","POLINESIA FRANCESE","10-08-2022 12:30:02"
0,1,"PIEMONTE","ANDORRA","10-08-2022 12:30:02"
0,1,"PUGLIA","FRANCIA","10-08-2022 12:30:02"
0,3,"CAMPANIA","AUSTRALIA","10-08-2022 12:30:02"
0,20,"LOMBARDIA","SINGAPORE","10-08-2022 12:30:02"
0,199,"LOMBARDIA","AUSTRALIA","10-08-2022 12:30:02"
0,782,"LOMBARDIA","FRANCIA","10-08-2022 12:30:02"
0,8,"LOMBARDIA","ISLANDA","10-08-2022 12:30:02"
0,274,"LOMBARDIA","SPAGNA","10-08-2022 12:30:02"
0,6,"LOMBARDIA","PERU'","10-08-2022 12:30:02"
0,18,"LOMBARDIA","REPUBBLICA DOMINICANA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","MAROCCO","10-08-2022 12:30:02"
0,4,"LOMBARDIA","MALTA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","EL SALVADOR","10-08-2022 12:30:02"
0,13,"EMILIA ROMAGNA","SPAGNA","10-08-2022 12:30:02"
0,29,"EMILIA ROMAGNA","SVIZZERA","10-08-2022 12:30:02"
0,5,"LAZIO","MAROCCO","10-08-2022 12:30:02"
0,1,"LAZIO","REPUBBLICA DOMINICANA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","SLOVENIA","10-08-2022 12:30:02"
0,2,"LAZIO","GUYANA FRANCESE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","MALAYSIA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","GIAPPONE","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","MACEDONIA DEL NORD","10-08-2022 12:30:02"
0,1,"LIGURIA","ANGOLA","10-08-2022 12:30:02"
0,3,"PIEMONTE","AUSTRIA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","GIBILTERRA","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","CIPRO","10-08-2022 12:30:02"
0,1,"MARCHE","AFGHANISTAN","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","LIECHTENSTEIN","10-08-2022 12:30:02"
0,1,"CAMPANIA","ARUBA","10-08-2022 12:30:02"
0,1,"CAMPANIA","GIAMAICA","10-08-2022 12:30:02"
0,1,"CAMPANIA","MAROCCO","10-08-2022 12:30:02"
0,640,"LOMBARDIA","REGNO UNITO","10-08-2022 12:30:02"
0,784,"LOMBARDIA","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,72,"LOMBARDIA","SVEZIA","10-08-2022 12:30:02"
0,4,"LOMBARDIA","BURKINA FASO","10-08-2022 12:30:02"
0,10,"LOMBARDIA","POLONIA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","THAILANDIA","10-08-2022 12:30:02"
0,16,"LOMBARDIA","MONACO","10-08-2022 12:30:02"
0,2,"LOMBARDIA","CONGO","10-08-2022 12:30:02"
0,14,"LOMBARDIA","REPUBBLICA POPOLARE CINESE","10-08-2022 12:30:02"
0,18,"LOMBARDIA","COSTA RICA","10-08-2022 12:30:02"
0,1,"LAZIO","BRASILE","10-08-2022 12:30:02"
0,4,"LOMBARDIA","ROMANIA","10-08-2022 12:30:02"
0,12,"EMILIA ROMAGNA","BAHAMAS","10-08-2022 12:30:02"
0,69,"EMILIA ROMAGNA","REGNO UNITO","10-08-2022 12:30:02"
0,57,"EMILIA ROMAGNA","AUSTRIA","10-08-2022 12:30:02"
0,70,"EMILIA ROMAGNA","CANADA","10-08-2022 12:30:02"
0,2,"CAMPANIA","STATI UNITI D'AMERICA","10-08-2022 12:30:02"
0,4,"EMILIA ROMAGNA","TERRITORI DELL'AUTONOMIA PALESTINESE","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","UNGHERIA","10-08-2022 12:30:02"
0,7,"EMILIA ROMAGNA","STATO CITTA' DEL VATICANO","10-08-2022 12:30:02"
0,1,"TRENTINO ALTO ADIGE","BRASILE","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","SENEGAL","10-08-2022 12:30:02"
0,3,"EMILIA ROMAGNA","MONACO","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","CROAZIA","10-08-2022 12:30:02"
0,2,"CAMPANIA","CANADA","10-08-2022 12:30:02"
0,1,"CAMPANIA","ATOLLO DI CLIPPERTON","10-08-2022 12:30:02"
0,1,"EMILIA ROMAGNA","LETTONIA","10-08-2022 12:30:02"
0,1,"UMBRIA","BRASILE","10-08-2022 12:30:02"
0,819,"LOMBARDIA","BRASILE","10-08-2022 12:30:02"
0,34,"LOMBARDIA","ECUADOR","10-08-2022 12:30:02"
0,48,"EMILIA ROMAGNA","AUSTRALIA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","FILIPPINE","10-08-2022 12:30:02"
0,26,"LOMBARDIA","LUSSEMBURGO","10-08-2022 12:30:02"
0,26,"LOMBARDIA","DANIMARCA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","MALAYSIA","10-08-2022 12:30:02"
0,12,"LOMBARDIA","GUINEA EQUATORIALE","10-08-2022 12:30:02"
0,40,"LOMBARDIA","AUSTRIA","10-08-2022 12:30:02"
0,10,"LOMBARDIA","PARAGUAY","10-08-2022 12:30:02"
0,6,"LOMBARDIA","TUNISIA","10-08-2022 12:30:02"
0,2,"LOMBARDIA","ERITREA","10-08-2022 12:30:02"
